cost_for_two,num_votes,rating_label
1291.7489593292898,382.0208170210225,Good
684.0595212367341,351.39225100699537,Good
1374.6278741954407,1461.744436626416,Good
767.0420144809957,330.97341145554833,Good
313.00518177635803,1679.3481067226412,Good
1386.4583717031164,1471.2360088816931,Good
409.5440121433603,346.4278051554196,Good
683.1763651084979,352.70788535334543,Good
1440.0743604609659,1975.9512413021157,Good
1440.7285763250673,873.6874323610166,Good
988.1254657479433,867.1558647204037,Good
1058.204654603759,1663.0392210635046,Good
838.1346263739837,1905.0474392909457,Good
651.8529260376774,1974.8019148811677,Good
694.3974544438992,1556.080733466095,Good
1107.022147292446,877.2672539556484,Good
1202.849435325216,350.30129005760375,Good
1249.894852471018,1598.8644486693863,Good
1247.5417713534648,1205.1276495244492,Good
409.44732365842845,963.5996166445573,Good
893.3043656430978,1831.4378931705248,Good
369.07051201997314,400.15546815107245,Good
959.4346587884827,1086.7251877235465,Good
829.8366016480525,220.4365605813543,Good
1365.2450193099596,1043.5891555894273,Good
721.0980150624944,301.3458962273072,Good
440.48041971312705,413.8722492825294,Good
471.590018463403,411.5472441987888,Good
1213.8127580609666,1368.5785438089144,Good
1041.8616759795132,1542.880782677762,Good
508.35813556801173,36.336962361326584,Bad
773.5207839321794,74.9177766915975,Bad
362.4094056665928,59.469311923647396,Bad
299.99846039730255,91.7118556591221,Bad
708.0193897326222,20.882849175097878,Bad
256.51708696361686,146.4152730732633,Bad
774.2557776084279,148.0695042271444,Bad
108.50813228287144,107.74263996276431,Bad
778.9151786953473,85.05349128817686,Bad
130.21193836540328,53.333866280085886,Bad
723.8001795886497,123.93130275897282,Bad
469.3907763604099,105.8623641575431,Bad
795.0753572835102,32.76637150828478,Bad
151.6575953147792,137.52980582913796,Bad
487.69799908092455,125.15521400924366,Bad
778.5117749333692,142.97198786086938,Bad
466.16849091910416,111.6007311743704,Bad
540.5790466946837,95.87812743101058,Bad
587.024082289232,68.55402508068664,Bad
418.1787453374413,140.58198766956187,Bad
539.2906560588444,131.24894453005717,Bad
509.02001834617016,16.330613814866517,Bad
730.8106073436923,13.69137642961528,Bad
131.81246623902052,62.704871362926944,Bad
296.6742327145612,123.4774663094566,Bad
765.2880388535912,148.2186581040922,Bad
723.1846487236414,31.058364754493944,Bad
418.95972694999904,93.17830014929892,Bad
534.0928184610757,63.324719928343015,Bad
294.16682808679286,145.78801569404445,Bad
